block_id,verdict,footprint_class,ops_touched
timm__WindowAttention__c308c59d,Abstain,tested-only,cat|clamp|contiguous|creation_ops|dropout|elementwise_binary|flatten|linear|permute|reduce|relu|reshape|sigmoid|softmax|stack|to|transpose|unbind|unsqueeze|view
timm__ConvNeXt__5b52696a,Abstain,audited,conv2d
timm__ConvNeXtBlock__e48fc330,Abstain,tested-only,creation_ops|linear|permute|reshape
timm__ConvNeXtStage__0b95344a,Refuted,audited,
timm__Downsample__60802c6d,Verified,tested-only,avg_pool2d
timm__Affine__8f1d3b4a,Verified,tested-only,creation_ops
timm__MixerBlock__aa30e6b1,Abstain,audited,gelu|layer_norm|transpose
timm__MlpMixer__df86273c,Abstain,tested-only,checkpoint|contiguous|dropout|gelu|layer_norm|linear|permute|reduce|reshape
timm__ResBlock__ae71b868,Abstain,tested-only,creation_ops|gelu|linear|transpose
timm__SpatialGatingBlock__732b4766,Abstain,audited,gelu|layer_norm
timm__SpatialGatingUnit__cddb36f2,Abstain,audited,chunk|layer_norm|linear|transpose
timm__Attention__003a0971,Abstain,tested-only,cat|contiguous|creation_ops|dropout|linear|permute|reshape|scaled_dot_product_attention|transpose|unbind|unsqueeze|view
timm__Beit__6997245c,Abstain,tested-only,cat|checkpoint|contiguous|creation_ops|dropout|expand|linear|permute|reduce|reshape
timm__Block__22c64202,Abstain,tested-only,creation_ops|gelu
timm__RelativePositionBias__1c05d937,Refuted,tested-only,contiguous|creation_ops|permute|view
timm__Cait__c540b873,Abstain,tested-only,cat|checkpoint|contiguous|creation_ops|dropout|expand|gelu|layer_norm|linear|permute|reduce|reshape|split
timm__ClassAttn__65cd4dd4,Abstain,audited,dropout|linear|permute|reshape|transpose|unsqueeze
timm__LayerScaleBlock__de8bbf28,Abstain,tested-only,creation_ops|gelu|layer_norm
timm__LayerScaleBlockClassAttn__a04ec1f5,Abstain,tested-only,cat|creation_ops|gelu|layer_norm
timm__TalkingHeadAttn__72c0467a,Refuted,audited,dropout|linear|permute|reshape|transpose
timm__CoaT__21d9ba11,Abstain,tested-only,cat|contiguous|conv1d|creation_ops|dropout|layer_norm|linear|permute|reduce|reshape|squeeze|stack
timm__ConvPosEnc__46471a50,Verified,audited,cat|conv2d|flatten|transpose|view
timm__ConvRelPosEnc__12b18106,Verified,audited,cat|conv2d|pad|reshape|split|transpose
timm__FactorAttnConvRelPosEnc__96fb8120,Abstain,audited,dropout|linear|permute|reshape|transpose|unbind
timm__ParallelBlock__8968d2ec,Abstain,tested-only,cat|gelu|interpolate|layer_norm|reshape|transpose
timm__SerialBlock__c9b429f0,Abstain,audited,gelu|layer_norm
timm__DownsampleAvg__b4e662f0,Abstain,tested-only,avg_pool2d
timm__GammaAct__4efebfe6,Abstain,audited,
timm__NormFreeBlock__9b86f571,Abstain,audited,
timm__NormFreeNet__f8ec1497,Abstain,audited,conv2d|linear
timm__Bottleneck__77e095f8,Abstain,tested-only,batch_norm|relu
timm__PreBottleneck__99ad5d36,Abstain,tested-only,batch_norm|relu
